reel_id,creator_followers,category,posting_time,reel_length_sec,trending_audio,hook_strength_score,audio_popularity_score,video_quality_score,editing_quality_score,hashtags_count,caption_length,avg_watch_time_sec,retention_rate,completion_rate,rewatch_rate,impressions,reach,non_follower_reach_ratio,explore_page_boost,likes,comments,shares,saves,engagement_rate,virality_score
2d4c552c-a967-4faf-93f7-3699a109a9db,80000,Tech,17,20,True,0.1492,0.7936,0.2609,0.5014,,277.0,7.01,0.3653,0.3798,0.0816,236246,161653,0.4304,False,15653,528.0,2154,2127.0,0.4004,31.48
0c218c96-c8be-46fc-b7e6-a8122dc4e5d2,3197,Fashion,13,20,True,0.475,0.5892,0.5917,0.2944,7.0,200.0,4.98,0.2804,0.2393,0.0428,13794,8361,0.4947,False,519,34.0,66,50.0,0.4418,51.25
c7f63ba4-505d-47da-88ac-af71161cfc28,80000,Education,11,30,False,0.6046,0.3261,0.5574,0.6195,5.0,1169.0,14.21,0.5486,0.2997,0.0668,215713,162293,0.5814,False,12335,723.0,727,722.0,0.5967,47.15
65d1f1a2-ac19-4da6-90cc-7c9bce5e340f,400000,Comedy,99,15,False,0.065,0.2454,0.1436,0.2632,16.0,84.0,5.72,0.3823,0.2639,0.1998,838886,468272,0.4277,False,27682,1619.0,2039,2104.0,0.1892,12.78
db65c599-7ae5-4bc8-805c-5f3402c73ae8,32952,Tech,18,20,False,0.6114,0.0282,0.3704,0.3137,10.0,129.0,12.15,0.6106,0.5188,0.0248,90717,50594,0.5504,False,2595,,376,239.0,0.5865,46.35
b777b655-5e66-458b-905f-e5db2060ec31,2452943,Educacion,16,20,False,0.8666,0.286,0.7565,0.7857,26.0,1200.0,11.87,0.6783,0.6759,0.1834,5000000,2770801,0.6495,False,259044,14142.0,13451,19856.0,0.539,58.95
7236f899-496a-41d7-a443-836405414446,149432,Comedy,15,20,False,0.0992,0.4281,0.1082,0.0,24.0,1439.0,3.06,0.1665,0.194,0.0191,464237,185993,0.3388,False,7876,,1175,978.0,0.2817,22.36
41658ec1-cc9a-457a-9ee0-c370ff3185d0,10584,travel,10,30,False,0.2554,0.4054,0.2901,0.7886,13.0,523.0,14.97,0.5789,0.5081,0.282,69496,54734,0.491,False,1268,38.0,78,175.0,0.4901,37.2
ea14ce02-e24a-4e7c-8270-0e09cb105eb6,783915,Fitnes,18,15,False,0.2939,0.2447,0.0469,0.3561,2.0,2012.0,5.46,0.3743,0.1994,0.0669,38067,25789,0.4311,False,212,6574.0,38637,56483.0,0.2892,1.62
c5c2b023-2cdd-4764-9196-9de97926c5c9,2629083,tech,11,15,False,0.3136,0.4008,0.4392,0.4012,,125.0,4.3,0.2983,0.3087,0.0034,147084,104487,0.4228,False,541,8081.0,12729,33246.0,0.323,0.61
45d99423-3260-43d3-b4f4-bcd4b669ce9d,400000,Tech,10,15,True,0.0,0.4152,0.2254,0.2949,12.0,1988.0,3.47,0.2352,0.1182,0.0621,1536455,1196719,0.373,False,93380,6633.0,10013,14570.0,0.3022,19.22
8b35ff07-7b0c-4dfe-8f51-3edade9d8b55,47042,Education,16,60,False,0.2499,0.3217,0.8831,0.5139,,1636.0,24.63,0.4242,0.3543,0.144,220140,200915,0.5259,False,17805,807.0,1428,2184.0,0.3992,37.91
6aca6896-212e-4f3e-a881-f41fac1a73fe,7496,food,16,45,False,0.0439,0.118,0.2436,0.0,20.0,1836.0,11.13,0.2893,0.2057,0.1012,25342,21113,0.3025,False,431,13.0,56,25.0,0.3381,16.94
532f79cc-8ab1-4a95-98a4-b0e61a64c19f,4865,Fashion,13,20,False,0.0478,0.3446,0.2616,0.145,14.0,,1.4,0.0824,0.0488,0.0105,14584,8682,0.4949,False,173,4.0,24,12.0,0.2299,27.47
f71634df-862f-45d7-9acf-688ff90e08a4,3448,Comedy,16,15,False,0.0919,0.2918,0.0,0.1604,1.0,1587.0,4.06,0.3006,0.258,0.0961,15030,7008,0.3398,False,343,19.0,27,40.0,0.2794,19.02
394e8a9d-8dcc-49fc-87f4-960116b9c07e,8838,Tech,11,60,True,0.0,0.5582,0.0864,0.0,20.0,1782.0,9.65,0.1673,0.1489,0.0614,19360,11403,0.3696,False,708,51.0,77,141.0,0.1333,15.91
deded74c-a878-482e-abd9-9aba85724140,400000,travel,18,30,True,0.0238,0.619,0.2193,0.0,11.0,2197.0,6.12,0.2195,0.251,0.0277,1904416,1791230,0.4806,False,77749,5800.0,9240,11142.0,0.4008,34.47
123ebdbf-5949-4cee-b2fc-76265225cc77,10000,Music,21,15,True,0.7817,0.8502,0.4641,0.8402,26.0,1470.0,9.85,0.7464,0.4343,0.3638,67846,48257,0.701,True,3312,169.0,247,455.0,0.6787,70.59
4ff945fb-bcf2-4915-b327-cef963f53162,1983,Beauty,11,45,False,0.167,0.1349,0.2643,0.6336,1.0,539.0,19.66,0.4566,0.2404,0.2481,1977,1486,0.4235,False,143,0.0,10,10.0,0.3828,22.89
2cf66852-2906-4c4c-9e51-03ae01611dd0,80000,Tech,21,20,True,0.8383,0.6764,0.5932,0.4301,28.0,1839.0,12.75,0.7458,0.6486,0.2163,506634,369854,0.6106,False,38147,2474.0,4144,3409.0,0.6741,66.17
3c3d6c0c-0968-4115-9071-fb0254007b68,1911096,Education,20,30,False,0.3762,0.0545,0.369,0.3702,10.0,609.0,15.01,0.5024,0.2944,0.2061,5000000,2818889,0.5124,False,88537,6718.0,8136,6521.0,0.4195,38.45
96412c9b-e49c-4038-af72-e26051496026,111767,Beauty,11,15,True,0.4429,0.8329,0.5392,0.637,19.0,1545.0,7.68,0.5193,0.3877,0.1895,827899,612583,0.6754,False,20335,553.0,1604,3341.0,0.5906,50.82
ad685ede-5e24-40cb-8b11-2c30a695e2ab,80000,Tech,16,15,True,0.1252,0.4535,0.3732,0.4003,22.0,2010.0,4.45,0.3346,0.4005,0.1134,512628,463326,0.4023,False,17625,,1670,1997.0,0.3863,27.73
49c2d267-3835-4eb0-86bb-280a5be0d586,81399,Travel,15,10,True,0.3222,0.8277,0.7323,0.3132,30.0,1957.0,4.17,0.4792,0.566,0.0584,270829,244371,0.5048,False,15452,774.0,805,2292.0,0.4898,44.94
8249ffd6-0d0c-427d-9845-8e4affec7b75,63852,Gaming,15,20,False,0.5652,0.2062,0.5285,0.3394,20.0,512.0,9.83,0.5677,0.4568,0.3275,328476,268155,0.5022,False,14295,15.0,1170,2130.0,0.3732,39.76
619609b9-57b3-4aa0-a2a7-dd706ee4fd7a,10880,Gaming,13,20,False,0.8742,0.3317,0.9633,1.0,12.0,531.0,13.5,0.7297,0.8356,0.172,148760,112591,0.7159,True,15323,517.0,1531,1071.0,0.6664,76.94
c0825a38-2d97-4372-800a-8d4ef9f3a4f7,2361,Comedy,9,10,True,0.3689,0.7019,0.117,0.6118,1.0,1848.0,3.89,0.4074,0.3039,0.0692,5192,4471,0.5345,False,152,5.0,15,21.0,0.458,38.98
5446571f-d844-4a10-a276-a24d28d39d82,1299,Education,13,15,False,0.0481,0.3191,0.3048,0.0348,11.0,789.0,3.72,0.2697,0.2268,0.1156,6214,4501,0.5322,False,446,12.0,64,55.0,0.3419,32.05
32377b47-f68c-464c-8bb0-97520c55ed0f,10000,Tech,15,20,False,0.3713,0.2607,0.7092,0.3812,,773.0,5.6,0.2887,0.1777,0.1467,89289,77947,0.5955,False,1569,98.0,105,207.0,0.3575,37.1
54bcebe9-81ba-4704-9885-bf739f7aebfd,80000,Beauty,10,60,False,0.5208,0.6592,0.4843,0.5902,23.0,205.0,32.67,0.5578,0.5664,0.023,404524,295291,0.6913,False,30409,1504.0,2757,2659.0,0.519,50.21
c3162f1d-26d2-4e7d-8612-3026278ab4f0,273857,Beauty,9,15,True,0.3997,0.5227,0.3224,0.1864,5.0,1986.0,5.89,0.4555,0.334,0.1528,443113,375581,0.5043,False,23832,893.0,3477,3450.0,0.4365,38.77
45b0f6e4-3b7d-441e-b385-5cc757619475,10000,Fashion,15,20,False,0.6985,0.3155,0.4036,0.269,16.0,1724.0,11.2,0.6518,0.6986,0.147,40560,27206,0.5053,False,1291,3.0,132,,0.4572,41.42
4035526d-74ad-44e1-a216-87ebc241a1ec,10000,Tech,15,45,False,0.6167,0.3086,0.4694,0.5705,4.0,2090.0,29.78,0.6768,0.4275,0.0829,34900,18153,0.522,False,1045,55.0,82,,0.5146,45.79
f91cbb34-c84f-4982-9934-1569b2b7f9a0,10000,Comedy,9,45,False,0.8841,0.4029,0.3634,0.7244,23.0,403.0,26.09,0.6033,0.5261,0.139,57814,44729,0.6008,False,5048,335.0,432,886.0,0.6258,49.23
77ca25e7-2c92-423b-bca6-2b2c63588b64,10000,Beauty,15,60,True,0.7388,0.5796,0.7041,0.1898,18.0,974.0,34.43,0.6013,0.352,0.0129,39070,20329,0.5331,False,1380,62.0,178,159.0,0.4801,51.82
d7f87d2e-1d75-499e-8f5a-6d75f6d88d38,26830,Food,17,20,False,0.6603,0.0679,0.6236,0.6489,8.0,1791.0,12.32,0.7143,0.6367,0.0911,192900,116707,0.5982,False,4333,195.0,220,800.0,0.4792,47.15
ecdb4411-8317-4505-8d8a-4e2e8eda3e22,10000,Gaming,11,30,False,0.5931,0.3648,0.8401,0.794,26.0,569.0,14.53,0.5023,0.4555,0.1159,77186,66134,0.461,False,5228,298.0,449,613.0,0.5135,50.42
314220c6-b5b9-498b-a234-7d196530da84,80000,Food,9,10,True,0.8271,0.5586,0.4239,0.7007,21.0,827.0,5.66,0.568,0.5267,0.1904,216745,120019,0.5876,False,12736,30.0,1367,1502.0,0.507,53.15
833b443c-1e4b-4520-9925-9168d0d9f07c,10000,Fashion,21,20,False,0.1598,0.1422,0.0979,0.365,26.0,,5.91,0.2956,0.3205,0.0788,26350,24738,0.4015,False,1882,3.0,250,258.0,0.2663,31.72
5e025dd3-4168-4f34-aef7-ea0557dbac88,10000,tech,14,45,True,0.4616,0.5421,0.4082,0.7056,15.0,647.0,21.38,0.5017,0.32,0.1162,47535,23165,0.6037,False,1910,134.0,225,,0.496,48.64
dace7122-6c18-4f60-bec6-a385de2370eb,3778,Beauty,16,30,True,0.3354,0.7275,0.7745,0.4693,3.0,1059.0,14.29,0.4908,0.3335,0.2251,20419,13617,0.5616,False,415,11.0,24,69.0,0.5739,47.79
6a4fc4e7-9794-47ba-8ead-acd93cca7ec2,2160,Fashion,10,30,True,0.5534,0.3034,0.857,0.5693,6.0,,11.24,0.4273,0.2735,0.0651,3396,1575,0.4807,False,107,3.0,11,8.0,0.4625,46.72
42303460-6356-4614-b97d-77083545c886,400000,Gaming,11,20,False,0.1792,0.2165,0.0,0.3129,11.0,1401.0,7.85,0.4262,0.3473,0.166,491109,435270,0.4687,False,17231,704.0,2323,2576.0,0.2443,16.13
b6f14805-529a-45a0-96af-ea2ccbb77695,400000,Tech,8,45,False,0.4946,0.1784,0.4045,0.5653,7.0,740.0,23.98,0.6166,0.6182,0.0479,686304,355444,0.4803,False,10033,536.0,844,577.0,0.4601,39.56
23e13166-50f4-4431-be0b-904b0cddd6f1,7766,Tech,14,30,True,1.0,0.5819,1.0,1.0,17.0,1585.0,20.95,0.7939,0.9476,0.0731,86978,79412,0.6423,True,6567,229.0,369,531.0,0.6522,73.44
e438da99-d19f-4d36-acc4-dec4b92dd7ae,40015,Fashion,16,20,False,0.5027,0.1312,0.5585,0.3845,21.0,1041.0,10.88,0.5684,0.6368,0.1625,101199,58855,0.5013,False,3600,278.0,390,363.0,0.5015,32.51
b4260976-b630-4f3f-9832-85a4ecfa331c,10000,Music,10,15,False,0.3107,0.3265,0.7284,0.2481,8.0,234.0,5.86,0.4388,0.3508,0.2265,20438,18058,0.4434,False,790,28.0,115,44.0,0.3428,34.05
86164945-23c9-459f-893b-b6fea6425b23,97588,Gaming,16,7,True,0.2838,0.7282,0.3869,0.0882,8.0,64.0,1.54,0.2248,0.1753,0.0496,449140,190836,0.4878,False,13302,650.0,1882,1074.0,0.2924,33.65
ed08a6a7-d07d-4e9e-88ed-49488e06ffbb,637,Education,22,30,True,0.111,0.7369,0.1259,0.1855,11.0,1732.0,8.81,0.3006,0.3563,0.1412,1937,1796,0.428,False,168,,9,25.0,0.3978,34.04
084eec61-9d24-4e8c-ae7a-4adf8b318bb9,80000,Education,22,30,False,0.5855,0.1913,0.4539,0.1133,14.0,2186.0,9.06,0.328,0.2432,0.171,355213,337268,0.4575,False,12798,535.0,679,1287.0,0.2828,36.83
9310abf2-9650-4431-9e22-d6c6636e853e,7904,Comedy,22,45,False,1.0,0.2369,1.0,1.0,21.0,1790.0,32.75,0.8345,0.693,0.0068,48660,19573,0.6337,False,2666,113.0,321,518.0,0.735,62.22
7b12e0b3-c238-400c-8f43-ac909203675a,400000,Gamig,10,15,True,0.2192,0.7988,0.3536,0.3742,10.0,25.0,5.92,0.4554,0.3694,0.1764,1092487,797732,0.4197,False,46178,,3706,5125.0,0.506,38.38
32ad838d-7d08-4e3a-aa19-b8e0285d8439,86609,Comida,21,15,False,1.0,0.3962,0.8497,0.6429,19.0,1207.0,8.63,0.651,0.4633,0.1203,263705,180724,0.7237,True,13997,966.0,871,,0.6715,75.24
827b9fc1-7e0b-4d02-b393-d7c4ef7a1aef,3046,Beauty,21,45,True,0.2049,0.8155,0.1152,0.4428,8.0,1774.0,12.49,0.2894,0.212,0.0843,9214,6566,0.4975,False,277,,27,15.0,0.4701,46.55
6b274c25-b3ce-405d-845a-6bd04657e5d1,10000,Education,20,15,False,0.8952,0.4325,0.7466,0.5543,18.0,1045.0,7.92,0.5902,0.4705,0.2254,17059,15442,0.6303,False,1670,76.0,173,137.0,0.6121,67.1
fea67a37-f0f8-4136-87fe-fb85f3653c1f,80000,Education,14,20,True,0.0,0.9284,0.0,0.0,15.0,657.0,1.85,0.1004,0.0595,0.0054,248430,217560,0.3449,False,13597,1069.0,1026,868.0,0.2507,21.45
f3762ff5-d34f-4e2a-98bb-4f649573f18a,80000,Food,9,30,False,0.7603,0.3085,0.6089,0.5698,27.0,97.0,19.33,0.7078,0.6964,0.2087,217304,110033,0.5737,False,10592,715.0,1451,2089.0,0.6676,54.26
4e5eb7b0-4aac-4180-86b9-3578c98acc7c,19913,Fitness,20,15,False,0.6023,0.2799,0.8096,0.8385,14.0,1020.0,9.35,0.7297,0.762,0.2704,86189,50084,0.5227,False,5055,203.0,658,864.0,0.5541,58.64
05f276bf-a2b1-4daa-b888-37216e83d2fe,88929,Travel,12,15,False,0.3915,0.3897,0.5613,0.6104,14.0,2026.0,5.11,0.3463,0.2119,0.1591,365315,173473,0.4363,False,13781,637.0,1010,1016.0,0.4439,46.15
82cf8278-5490-4af5-a355-97a07b542205,1662712,Comedy,13,60,True,0.1093,0.6849,0.4155,0.0273,14.0,960.0,10.88,0.1918,0.1997,0.0859,5000000,4336914,0.4616,False,435255,24455.0,61547,53849.0,0.3549,40.24
9596703d-064f-4c40-bcba-422964c86110,10000,Tech,17,15,False,0.6629,0.1894,0.9173,0.6073,8.0,699.0,7.37,0.5456,0.5468,0.0597,73988,63541,0.5314,False,5627,339.0,282,564.0,0.4463,45.76
99357ab4-32dd-40bc-aaff-82439fdf6e3e,500,Gaming,10,20,False,0.7181,0.1728,0.5135,0.2951,18.0,531.0,8.78,0.4846,0.5699,0.2639,3784,2602,0.5233,False,196,7.0,18,19.0,0.5006,48.0
eab7d612-a7b1-4c48-9d9b-dcc9589a656c,9679,Fitness,11,30,False,0.4682,0.2005,0.3162,0.5728,16.0,698.0,13.1,0.5117,0.5179,0.1752,49756,29498,0.4484,False,2705,200.0,381,277.0,0.3583,31.14
69be7303-632a-481d-9d83-165e7d45bd85,10000,MUSIC,16,15,False,0.3938,0.2191,0.2284,0.3925,19.0,1910.0,4.68,0.3671,0.245,0.0703,9969,8594,0.405,False,461,11.0,33,81.0,0.3712,29.98
b72343c9-16d2-4e1d-9ef7-f433b82b5e82,46718,Fitness,19,30,True,0.3392,0.4971,0.4325,0.2859,22.0,730.0,6.87,0.2384,0.1595,0.0823,184502,94914,0.4448,False,6271,277.0,447,1074.0,0.2907,43.74
cfeb3c2e-499e-4919-abbc-255fd81d9caf,9996,Education,11,45,True,1.0,0.4334,1.0,0.8144,13.0,1664.0,36.02,0.804,0.4521,0.3384,124480,75918,0.6003,True,4034,214.0,600,745.0,0.7832,70.91
be6b27c7-3432-46a0-a392-7360c09ce194,400000,Viajes,13,15,False,0.3809,0.0152,0.372,0.1661,,932.0,2.65,0.2045,0.1761,0.0886,1990165,1369424,0.5086,False,61345,4834.0,5347,7558.0,0.3763,30.44
b6170691-0840-4292-bf75-62a52ed6cab5,400000,fashion,14,30,False,0.7225,0.2931,0.9361,0.9411,29.0,2057.0,17.88,0.6508,0.5574,0.0517,1026005,792882,0.5276,False,24022,1433.0,2262,3373.0,0.67,56.96
99a4e14a-4026-487b-9cc0-9513da8a6e30,15419,Comedia,16,45,False,0.5543,0.0785,0.358,0.8068,23.0,2020.0,26.96,0.6592,0.4744,0.3314,63709,51323,0.489,False,2171,56.0,189,252.0,0.5076,34.35
6d6b4e88-ece6-4088-809d-698e905729f1,10000,Music,8,10,True,0.2351,0.8803,0.3344,0.4146,21.0,1144.0,3.69,0.4234,0.273,0.0579,62413,35554,0.5109,False,915,54.0,48,168.0,0.3551,45.17
b0e157bf-f6c8-461e-8888-781f1f1674d1,47216,Food,11,60,False,0.551,0.0416,0.3891,0.5879,7.0,1784.0,30.71,0.5199,0.3035,0.0399,182434,132058,0.4477,False,5260,155.0,536,805.0,0.3737,35.14
62964919-ab1d-422e-bbbd-fdaeccd211e4,54587,Beauty,13,60,False,0.6077,0.1306,1.0,0.6761,30.0,1610.0,39.65,0.7331,0.6008,0.0908,73777,46413,0.6961,False,4850,141.0,548,368.0,0.6917,61.39
bb04c2f1-b652-46fa-ae1a-db7c1c5087bf,34848,Comedy,10,45,False,0.8208,0.3263,0.7306,0.611,12.0,589.0,24.48,0.5556,0.6137,0.1856,211686,137552,0.5771,False,9074,292.0,644,602.0,0.5586,59.19
c87c6273-622d-474e-b96b-03af40d024e0,5937,Tech,14,15,True,0.6218,0.6035,0.7164,0.5301,19.0,1417.0,7.34,0.5063,0.5387,0.2173,17251,10289,0.5905,False,1205,59.0,101,143.0,0.4864,56.87
026d8820-f1cb-4954-ad8c-02b8efc4324f,3430,Comida,8,30,False,0.215,0.0788,0.3323,0.4204,29.0,972.0,6.93,0.2598,0.2792,0.1088,7914,6260,0.3531,False,447,12.0,28,51.0,0.3435,20.7
9867ca46-095e-4fe3-bbf9-5cce35bedf63,80000,food,14,15,True,0.1074,0.8721,0.3631,0.0713,20.0,830.0,1.09,0.0787,0.0908,0.0457,263211,186979,0.4663,False,12119,,1028,950.0,0.2921,37.61
f3f80598-b9b5-4e64-87a4-1b20c073551b,12552,Travel,12,7,False,0.19,0.162,0.1387,0.3925,6.0,677.0,1.64,0.2754,0.1555,0.0253,15082,6746,0.4785,False,367,23.0,48,67.0,0.4233,32.65
76d85d9a-cfe5-46b9-8438-0fc3996c6363,80000,Travel,9,45,True,0.3656,0.8911,0.2771,0.6488,17.0,967.0,19.18,0.437,0.5008,0.0295,121202,67307,0.4639,False,4626,92.0,344,559.0,0.4011,47.18
3b7d7773-6ce3-4154-b9b7-36b909b881f3,2583,Food,13,45,True,0.0192,0.9399,0.1574,0.2558,19.0,1244.0,10.47,0.2463,0.1393,0.0385,4959,3456,0.4689,False,346,23.0,19,20.0,0.3735,43.22
0aa262e2-78f6-4e4f-bdb0-8b040a5e7352,615,Tech,9,10,False,0.0,0.285,0.2132,0.0,2.0,1439.0,0.96,0.1001,0.0939,0.0211,1302,1105,0.3149,False,61,4.0,5,6.0,0.2885,14.68
e5780f3f-e111-432c-b0fb-4ff9c98e4c67,2905,Comedy,14,20,True,0.5361,0.4223,0.8595,0.384,10.0,1777.0,8.36,0.4385,0.359,0.1203,11082,6160,0.5482,False,400,28.0,37,25.0,0.4392,51.55
d9833c9c-127c-404e-9851-b545b4697451,204938,Food,16,30,True,0.0,0.8269,0.1354,0.0305,14.0,,3.95,0.1398,0.0819,0.0082,409294,308430,0.3996,False,5582,127.0,324,943.0,0.2231,26.36
44d406f0-4a6b-4c27-ae1d-9b707eb5d445,10000,Music,11,30,False,0.1518,0.1962,0.4001,0.1089,26.0,528.0,7.82,0.2685,0.3185,0.0835,34250,29047,0.4752,False,1974,57.0,113,,0.2191,23.23
55b34b04-db3c-4ea7-b416-9025474bf5c1,19880,Music,13,30,False,0.4124,0.254,0.2929,0.4064,16.0,648.0,8.22,0.3063,0.2144,0.1771,145478,128328,0.5375,False,10379,426.0,764,1649.0,0.3457,44.35
1fa952c4-0de0-4349-b758-13fb1051ba99,2646,Beauty,13,10,True,0.2637,0.8318,0.1008,0.1196,11.0,1597.0,1.77,0.177,0.1042,0.0444,22265,16506,0.5024,False,1151,47.0,145,166.0,0.3408,47.65
d9af092b-523c-43b6-8fd1-a9669fc3e101,21083,Gym,20,15,True,1.0,0.7561,1.0,0.8338,23.0,905.0,10.56,0.8042,0.8173,0.3522,175543,103556,0.6632,True,2691,66.0,304,143.0,0.7367,82.98
ccbaf9cd-1248-4e5d-a0d3-e46bd33ff10a,3261,Fod,18,15,False,0.4466,0.1203,0.5697,0.2827,16.0,607.0,4.49,0.3206,0.2002,0.1579,3537,2463,0.4662,False,235,9.0,15,38.0,0.3964,41.07
c1eec81d-2320-4617-96f4-aec79ac64be4,80000,Fitnes,12,45,True,0.2244,0.842,0.276,0.2361,18.0,771.0,7.68,0.196,0.1187,0.0343,234840,121522,0.5035,False,9129,440.0,735,1179.0,0.4443,45.21
55712596-a151-47f1-972c-c9de06d95eca,10000,Food,10,60,True,0.2296,0.5704,0.2699,0.5316,9.0,1690.0,23.03,0.3982,0.2577,0.0227,58018,36630,0.5806,False,1587,49.0,116,316.0,0.3889,36.45
b51b331e-27b3-4f8f-931d-341f45653828,102781,Moda,7,20,False,0.24,0.4322,0.3683,0.6018,10.0,85.0,10.18,0.5244,0.5559,0.0627,356827,155864,0.5105,False,14406,571.0,1778,,0.3289,30.45
bad02ea7-9d91-4acf-991c-63121cd0d80d,1092090,Tech,8,20,True,0.8671,0.6108,0.5594,0.861,20.0,1337.0,15.7,0.8797,0.5442,0.3566,3307470,1354916,0.627,False,76853,2575.0,5757,9446.0,0.5729,60.59
83cb5905-29e8-4458-b6de-893e6028d5d0,10000,Tecnologia,11,45,True,0.7303,0.8696,0.6946,0.4026,0.0,1719.0,25.62,0.6191,0.5471,0.3511,71030,32989,0.5743,False,3094,77.0,289,438.0,0.6189,62.62
ef982783-7536-419a-bc21-e94e4ec91747,1748,Food,10,10,False,0.1901,0.5654,0.0,0.0955,,173.0,1.89,0.1912,0.197,0.0832,8873,4998,0.4039,False,427,15.0,41,,0.2338,23.48
f1a505ed-7ba9-4481-980e-fdb55ed51b76,80000,Tech,17,60,False,0.4885,0.1531,0.5907,0.3203,5.0,1255.0,20.47,0.3754,0.2351,0.1329,88382,40980,0.3737,False,4078,306.0,240,720.0,0.351,33.17
a6bdd555-4908-44fd-b5e3-6c8aec7505e2,5652,Travel,11,15,False,0.4043,0.408,0.6689,0.4936,13.0,954.0,5.99,0.4637,0.2597,0.0676,32737,26462,0.5454,False,559,22.0,77,71.0,0.4241,43.17
63f94d54-8a00-45e6-bf7e-d28981bfbf73,2421,Music,10,15,True,0.22,0.5798,0.1549,0.4765,4.0,1737.0,7.79,0.5301,0.5707,0.2712,7770,5683,0.3978,False,151,,22,20.0,0.3592,32.41
72e80e48-08e5-4061-9df0-b768d06a12c4,6508,Travel,13,15,False,0.3163,0.2593,0.3341,0.1857,9.0,2058.0,3.64,0.2842,0.2163,0.0577,43928,23113,0.51,False,1204,24.0,166,157.0,0.4489,35.41
e62bdcb6-3999-411c-b591-fd464d75a4f6,1118,Gaming,20,60,True,0.5561,0.8315,0.3102,0.4631,13.0,189.0,19.18,0.3715,0.2089,0.054,8457,7002,0.6582,False,508,35.0,55,81.0,0.5437,63.1
